KPI,Value
Analysis Days,416.0
Average CLV,135.83926733834681
Average Daily Orders,24.03846153846154
Average Daily Revenue,2592.9590852772785
Average Items Per Order,5.0065
Average Order Value,107.86709794753477
Average Orders Per Customer,5.0352467270896275
Average Recency,81.60574018126889
CAC Payback (Months),4.418770960463141
CLV/CAC Ratio,2.7167853467669363
Churn Rate (%),10.876132930513595
Churned Customers,216.0
Customer Acquisition Cost,50.0
One-Time Customers,74.0
Product Categories,4.0
Profit Margin (%),18.38140252400462
Profit Per Customer,99.83628129254126
Repeat Customer Rate (%),96.27391742195368
Repeat Customers,1912.0
Retention Rate (%),89.12386706948641
Revenue Per Customer,543.1374519009807
Total Customers,1986.0
Total Orders,10000.0
Total Products,499.0
Total Profit,198274.85464698693
Total Revenue,1078670.9794753478
Total Units Sold,50065.0
